질문,답변
1: WCC를 제공하는 이유는?,WCC는 일련의 이슈에도 불구하고 오랜 시간 아우디폭스바겐코리아를 믿고 지지해주신 모든 고객분들에 대한 감사의 마음을 전하려는 저희 노력의 일환입니다.WCC는 일련의 이슈에도 불구하고 오랜 시간 아우디폭스바겐코리아를 믿고 지지해주신 모든 고객분들에 대한 감사의 마음을 전하려는 저희 노력의 일환입니다.
2: 전 고객들을 대상으로 캠페인을 진행하는 이유가 뭔가?,"한국 시장은 2016년 7월, 시험성적서 재인증 절차로 인해 대다수의 차량이 판매 중단에 들어갔습니다. 이로 인해 많은 아우디폭스바겐코리아는 한국 고객분들께 실망을 안겨드렸습니다. 이번 WCC는 한국 시장에서 고객 및 관계자분들의 믿음을 되찾아 브랜드 신뢰를 강화하고자 하는 아우디폭스바겐코리아 노력의 일환입니다.한국 시장은 2016년 7월, 시험성적서 재인증 절차로 인해 대다수의 차량이 판매 중단에 들어갔습니다. 이로 인해 많은 아우디폭스바겐코리아는 한국 고객분들께 실망을 안겨드렸습니다. 이번 WCC는 한국 시장에서 고객 및 관계자분들의 믿음을 되찾아 브랜드 신뢰를 강화하고자 하는 아우디폭스바겐코리아 노력의 일환입니다."
3: WCC는 EA189 엔진 리콜과 관련된 보상인가?,EA189엔진 차량에 대한 보상계획은 없습니다. 환경부와 독일의 KBA(교통환경안전청)는 면밀한 검사를 통해 소프트웨어 업그레이드를 통한 리콜 후 연비나 엔진 성능 저하 등에 영향을 미치지 않는다는 것을 최종 승인했습니다. 당사는 고객분들께서 불편함이 없이 리콜을 받을 수 있도록 최선의 노력을 다하겠습니다.EA189엔진 차량에 대한 보상계획은 없습니다. 환경부와 독일의 KBA(교통환경안전청)는 면밀한 검사를 통해 소프트웨어 업그레이드를 통한 리콜 후 연비나 엔진 성능 저하 등에 영향을 미치지 않는다는 것을 최종 승인했습니다. 당사는 고객분들께서 불편함이 없이 리콜을 받을 수 있도록 최선의 노력을 다하겠습니다.
5: EA189 엔진 차량 고객도 포함인가?,당사는 가능한 빨리 리콜을 받으실 것을 추천 드립니다. 금번 소프트웨어 업데이트는 지난 몇 년간 디젤연소시스템 관련 최신 기술이 반영되어 있습니다. 2.0 리터 차량의 소프트웨어 업데이트는 30분 정도 소요되기 때문에 큰 불편 없이 받으실 수 있습니다.당사는 가능한 빨리 리콜을 받으실 것을 추천 드립니다. 금번 소프트웨어 업데이트는 지난 몇 년간 디젤연소시스템 관련 최신 기술이 반영되어 있습니다. 2.0 리터 차량의 소프트웨어 업데이트는 30분 정도 소요되기 때문에 큰 불편 없이 받으실 수 있습니다.
7: WCC 제공 대상은 어떻게 되는지?,EA189엔진 차량에 대한 보상계획은 없습니다. 환경부와 독일의 KBA(교통환경안전청)는 면밀한 검사를 통해 소프트웨어 업그레이드를 통한 리콜 후 연비나 엔진 성능 저하 등에 영향을 미치지 않는다는 것을 최종 승인했습니다. 당사는 고객분들께서 불편함이 없이 리콜을 받을 수 있도록 최선의 노력을 다하겠습니다.EA189엔진 차량에 대한 보상계획은 없습니다. 환경부와 독일의 KBA(교통환경안전청)는 면밀한 검사를 통해 소프트웨어 업그레이드를 통한 리콜 후 연비나 엔진 성능 저하 등에 영향을 미치지 않는다는 것을 최종 승인했습니다. 당사는 고객분들께서 불편함이 없이 리콜을 받을 수 있도록 최선의 노력을 다하겠습니다.
9: EA189 엔진 차량 고객도 포함인가?,제품의 가격에 상관없이 모든 고객분들은 동일하게 소중한 고객이기 때문에 동일한 혜택이 제공될 예정입니다.제품의 가격에 상관없이 모든 고객분들은 동일하게 소중한 고객이기 때문에 동일한 혜택이 제공될 예정입니다.
"11: WCC가 다른 이슈(공정위 판결, 민사 소송 등)에 미치는 영향은? 아니면 소송을 건 사람에게만 제공되는 것인가?",가능합니다. WCC 바우처는 2016년 12월 31일가지 등록된 차량의 차대번호(VIN)에 적용됩니다. WCC혜택은 해당 차량의 차대번호로 관리됩니다.가능합니다. WCC 바우처는 2016년 12월 31일가지 등록된 차량의 차대번호(VIN)에 적용됩니다. WCC혜택은 해당 차량의 차대번호로 관리됩니다.
13: 차량 번호가 바뀌었는데 상관없는지?,WCC는 2016년 12월 31일까지 국내에 등록된 차량에게만 제공됩니다.WCC는 2016년 12월 31일까지 국내에 등록된 차량에게만 제공됩니다.
15: 차량을 이미 구매했으나 1월에 차량 등록하면 혜택 받을 수 있는지?,"법인, 운영리스 및 렌탈 차량의 경우, 차량등록증(원본) 상의 소유주에게 WCC 바우처가 지급됩니다.이에 WCC 바우처 사용가능 여부에 대해서는 차량등록증(원본) 상의 소유주인 법인, 리스회사 또는 렌탈회사 쪽으로 문의해주시기 바랍니다.법인, 운영리스 및 렌탈 차량의 경우, 차량등록증(원본) 상의 소유주에게 WCC 바우처가 지급됩니다.이에 WCC 바우처 사용가능 여부에 대해서는 차량등록증(원본) 상의 소유주인 법인, 리스회사 또는 렌탈회사 쪽으로 문의해주시기 바랍니다."
17: 직수입 차량도 WCC 대상인지?,"WCC는 2016년 12월 31일까지 국내에 등록된 차대번호에 자동 적용되고, 최초 중고차 구매자 분께 제공됩니다. 따라서, 차량등록증(원본) 상 명의가 변경된 경우, 서비스센터에 내방하시어 명의 변경 및 개인정보 변경을 완료해 고객님 소유로 차량을 등록 부탁 드립니다.WCC는 2016년 12월 31일까지 국내에 등록된 차대번호에 자동 적용되고, 최초 중고차 구매자 분께 제공됩니다. 따라서, 차량등록증(원본) 상 명의가 변경된 경우, 서비스센터에 내방하시어 명의 변경 및 개인정보 변경을 완료해 고객님 소유로 차량을 등록 부탁 드립니다."
"19: 중고차를 1월에 구매했는데, 혜택 받을 수 있는지?","WCC는 2016년 12월 31일까지 등록된 차량을 소유하고 있는 고객님께 제공됩니다. 중간에 차량을 판매하시는 경우, WCC 혜택은 고객님이 아닌 변경된 차주에게 자동으로 돌아가게 됩니다.WCC는 2016년 12월 31일까지 등록된 차량을 소유하고 있는 고객님께 제공됩니다. 중간에 차량을 판매하시는 경우, WCC 혜택은 고객님이 아닌 변경된 차주에게 자동으로 돌아가게 됩니다."
21: 2월 20일 이전에 차량을 매매하면 혜택이 없는 것인가?,"WCC는 2016년 12월 31일까지 등록된 차량을 소유하고 있는 고객님께 제공되며, 해당 차량의 차대번호에 따라 부여되기 때문에 소유주가 변경되면 자동으로 양도됩니다. 따라서, 이전 소유주가 WCC의 혜택을 소진하지 않았을 경우, 차액이 양도가 됩니다. 차량 양도 후, 빠른 시일 내에 가까운 서비스센터에 내방하시어 명의 변경 및 개인정보 변경을 부탁 드립니다.WCC는 2016년 12월 31일까지 등록된 차량을 소유하고 있는 고객님께 제공되며, 해당 차량의 차대번호에 따라 부여되기 때문에 소유주가 변경되면 자동으로 양도됩니다. 따라서, 이전 소유주가 WCC의 혜택을 소진하지 않았을 경우, 차액이 양도가 됩니다. 차량 양도 후, 빠른 시일 내에 가까운 서비스센터에 내방하시어 명의 변경 및 개인정보 변경을 부탁 드립니다."
